"node_name","level","node_x","node_y"
"9","Level 1","7117","1797"
"2","Level 1","5523","5716"
"13","Level 2","8632","882"
"22","Level 5","8632","882"
"5","Level 1","1708","6797"
"24","Level 1","8685","3916"
"7","Level 1","7465","2356"
"4","Level 1","4154","5228"
"3","Level 1","5883","6825"
"10","Level 1","8632","882"
"12","Level 2","7381","1908"
"16","Level 3","8632","882"
"19","Level 4","8632","882"
"18","Level 4","7381","1908"
"21","Level 5","7381","1908"
"20","Level 5","5909","2545"
"1","Level 1","5181","6524"
"17","Level 4","5909","2545"
"23","Level 1","8665","3521"
"8","Level 1","5909","2545"
"30","Level 2","8727","4395"
"33","Level 3","8901","3661"
"35","Level 3","8892","4391"
"25","Level 1","8600","4648"
"34","Level 3","8901","4226"
"36","Level 4","8920","2953"
"11","Level 2","5909","2545"
"38","Level 4","8910","3671"
"40","Level 4","8920","4410"
"37","Level 1","4150","6777"
"28","Level 2","8736","3656"
"32","Level 3","8892","3509"
"31","Level 3","8901","2953"
"14","Level 3","5909","2545"
"15","Level 3","7381","1908"
"27","Level 2","8745","3500"
"39","Level 4","8920","4244"
"29","Level 2","8740","4238"
"26","Level 2","8717","2948"
"6","Level 1","7855","6807"
