,created_at,item_name,name,zone
0,2023-05-10 00:00:28.286429+07,Visitor_1,Level 1,Guardhouse
1,2023-05-10 22:48:46.48134+07,Visitor_1,Level 1,D western
2,2023-05-11 08:25:40.810496+07,Visitor_1,Level 1,Guardhouse
3,2023-05-11 19:50:43.588278+07,Visitor_1,Level 1,D western
4,2023-05-11 20:00:43.677923+07,Visitor_1,Level 1,Guardhouse
5,2023-05-11 22:27:44.060212+07,Visitor_1,Level 1,D western
6,2023-05-11 22:29:44.113026+07,Visitor_1,Level 4,D eastern
7,2023-05-12 02:52:49.03976+07,Visitor_1,Level 1,D western
8,2023-05-12 03:01:38.933115+07,Visitor_1,Level 4,D eastern
9,2023-05-12 15:42:30.874903+07,Visitor_1,Level 1,D western
10,2023-05-12 15:43:31.39661+07,Visitor_1,Level 1,Guardhouse
11,2023-05-12 20:35:31.980591+07,Visitor_1,Level 1,B
12,2023-05-12 20:36:32.042917+07,Visitor_1,Level 1,C
13,2023-05-12 22:51:32.421112+07,Visitor_1,Level 1,Guardhouse
14,2023-05-13 02:52:48.149082+07,Visitor_1,Level 1,B
15,2023-05-13 02:53:38.156215+07,Visitor_1,Level 1,Guardhouse
16,2023-05-15 17:47:06.596516+07,Visitor_1,Level 3,D western
17,2023-05-15 17:49:06.682537+07,Visitor_1,Level 2,D eastern
18,2023-05-15 20:52:38.431159+07,Visitor_1,Level 1,D western
19,2023-05-15 20:53:37.138371+07,Visitor_1,Level 1,Guardhouse
20,2023-05-15 21:38:37.443669+07,Visitor_1,Level 1,D western
21,2023-05-15 21:40:37.300958+07,Visitor_1,Level 3,D eastern
22,2023-05-16 00:06:37.792163+07,Visitor_1,Level 4,D western
23,2023-05-16 00:07:37.805807+07,Visitor_1,Level 4,D eastern
24,2023-05-16 01:05:38.040493+07,Visitor_1,Level 4,D western
25,2023-05-16 01:06:38.077404+07,Visitor_1,Level 4,D eastern
26,2023-05-16 02:37:38.340829+07,Visitor_1,Level 4,D western
27,2023-05-16 02:38:38.330108+07,Visitor_1,Level 4,D eastern
28,2023-05-16 02:52:45.410742+07,Visitor_1,Level 4,D western
29,2023-05-16 02:53:35.346359+07,Visitor_1,Level 4,D eastern
30,2023-05-16 03:41:35.871051+07,Visitor_1,Level 4,D western
31,2023-05-16 03:42:35.864144+07,Visitor_1,Level 5,D eastern
32,2023-05-16 03:48:35.870503+07,Visitor_1,Level 4,D western
33,2023-05-16 03:49:36.805992+07,Visitor_1,Level 4,D eastern
34,2023-05-16 04:22:37.009533+07,Visitor_1,Level 4,D western
35,2023-05-16 04:23:35.813717+07,Visitor_1,Level 4,D eastern
36,2023-05-16 04:43:35.869313+07,Visitor_1,Level 4,D western
37,2023-05-16 04:45:35.817675+07,Visitor_1,Level 4,D eastern
38,2023-05-16 05:20:36.016914+07,Visitor_1,Level 4,D western
39,2023-05-16 05:22:35.974958+07,Visitor_1,Level 3,D eastern
40,2023-05-16 05:44:36.331756+07,Visitor_1,Level 4,D western
41,2023-05-16 05:45:36.095344+07,Visitor_1,Level 4,D eastern
42,2023-05-16 09:00:36.961358+07,Visitor_1,Level 1,D western
43,2023-05-16 09:01:37.018559+07,Visitor_1,Level 1,Guardhouse
44,2023-05-16 12:19:37.383773+07,Visitor_1,Level 1,B
45,2023-05-16 12:20:37.405382+07,Visitor_1,Level 1,Guardhouse
46,2023-05-17 20:52:46.603928+07,Visitor_1,Level 4,B
47,2023-05-18 18:51:37.085197+07,Visitor_1,Level 1,Guardhouse
48,2023-05-18 18:52:37.083147+07,Visitor_1,Level 1,B
49,2023-05-20 17:37:20.42+07,Visitor_1,Level 1,C
50,2023-05-20 17:38:20.362888+07,Visitor_1,Level 1,D western
51,2023-05-20 19:02:20.744927+07,Visitor_1,Level 1,B
52,2023-05-20 19:03:20.717604+07,Visitor_1,Level 1,D western
53,2023-05-20 19:04:20.768386+07,Visitor_1,Level 2,D eastern
54,2023-05-20 19:05:20.788946+07,Visitor_1,Level 1,C
55,2023-05-20 19:06:20.714139+07,Visitor_1,Level 1,B
56,2023-05-10 00:00:28.286429+07,Visitor_10,Level 5,D western
57,2023-05-10 00:00:28.286429+07,Visitor_2,Level 1,Guardhouse
58,2023-05-10 18:03:44.540853+07,Visitor_2,Level 1,D western
59,2023-05-10 18:05:44.533681+07,Visitor_2,Level 2,D eastern
60,2023-05-10 20:46:44.97145+07,Visitor_2,Level 1,Guardhouse
61,2023-05-12 02:52:49.03976+07,Visitor_2,Level 1,B
62,2023-05-12 02:53:38.915293+07,Visitor_2,Level 1,Guardhouse
63,2023-05-12 19:04:31.248317+07,Visitor_2,Level 1,D western
64,2023-05-12 19:05:31.37483+07,Visitor_2,Level 1,C
65,2023-05-13 07:46:39.48557+07,Visitor_2,Level 1,B
66,2023-05-13 07:47:39.477753+07,Visitor_2,Level 1,Guardhouse
67,2023-05-15 22:42:37.547758+07,Visitor_2,Level 2,D western
68,2023-05-16 06:49:36.498523+07,Visitor_2,Level 1,Guardhouse
69,2023-05-16 07:39:36.470621+07,Visitor_2,Level 1,D western
70,2023-05-16 07:41:36.410802+07,Visitor_2,Level 2,D eastern
71,2023-05-16 15:15:38.39114+07,Visitor_2,Level 1,Guardhouse
72,2023-05-16 17:46:38.925041+07,Visitor_2,Level 1,D western
73,2023-05-16 17:49:38.864964+07,Visitor_2,Level 2,D eastern
74,2023-05-16 20:31:39.536384+07,Visitor_2,Level 1,D western
75,2023-05-16 20:32:39.47114+07,Visitor_2,Level 1,Guardhouse
